
1	Open Hand Atlanta	Recovery & Redistribution		As one of the largest community-based providers of home-delivered meals and nutrition services in the U.S, we provide all our services free to clients. We believe in the power of food as medicine, and food as love. We deliver throughout metro Atlanta and the state of Georgia, and have a number of ways our neighbors can qualify for our meals: simply check your eligibility below. Our meals are medically tailored, which means they are crafted according to the needs of each individual by a Registered Dietitian Nutritionist (RDN) to improve health outcomes. We are also accredited by the Food is Medicine Coalition, a national coalition of nonprofit organizations dedicated to providing medically tailored meals, groceries, and nutrition support to individuals living with severe and chronic illnesses.		Nutrition, Health, & Wellness	1380 West Marietta St NW Atlanta, GA 30318	Nonprofit	404.872.8089 info@openhandatlanta.org			3				NW Atlanta	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWR5du6T55V4C2JJqgO6oyAaEedczKB-Dlww&s		3				https://www.openhandatlanta.org/partner-with-us/
2	Sabor Provisions	Consumption & Retail		We offer handmade products with fresh and natural ingredients. Our products include: empanadas, tarts, natural juices, gourmet sauces, and delicious tortilla chips.								4							4				
3	Summerhill Neighborhood Development Corporation	Recovery & Redistribution		For more than thirty years, the Summerhill Neighborhood Development Corporation has been a stalwart advocate for the Summerhill Community. Beyond constructing homes for low-income families and mentoring local youth, SNDC passionately champions environmental equity, striving for a balance between community development and preserving the environment. This dedication extends to promoting overall community wellness, ensuring access to essential resources, healthcare, and educational opportunities. Moreover, SNDC is committed to fostering synergy within the neighborhood, emphasizing collaboration among residents, organizations, and stakeholders to create a cohesive, vibrant community where everyone thrives. Honoring its rich history, the organization continues to evolve, dedicating itself to the holistic well-being and sustainable future of Summerhill.		Food Pantry	211 Georgia Ave SE, Atlanta, GA 30312		(404)586-0150			1					http://thesndc.org/wp-content/uploads/2023/12/Untitled-design-7.png		1				https://thesndc.org/
4	Golightly Street Community Garden	Farm / Producer				Community Garden						1							1				
5	Clarkston High/Communities in Schools	Recovery & Redistribution		Communities In Schools� (CIS) of Georgia is the state�s leading drop-out prevention organization. We serve 42 school districts across 38 counties in schools and beyond the classroom to ensure every student, regardless of race, zip code, or socioeconomic background, has what they need to realize their potential.		Food Pantry	618 N Indian Creek Dr, Clarkston, GA 30021	School	info@cisgeorgia.org			4					https://cisga.org/wp-content/uploads/2020/10/Logo-long-cisga.png		4				https://cisga.org/
6	Kings Forest Combined Corporation Garden	Farm / Producer				Community Garden						1							1				https://www.kfccc.org/
7	Café Momentum	Consumption & Retail										0							0				
8	Ecoworks Studio	Supporting Resources & Services		We are on a mission to create an equitable future by delivering innovative sustainability solutions in the built environment that advance planetary health and human well-being. We are an internationally recognized consulting firm offering a broad range of services and expertise in sustainability and wellness consulting for commercial real estate.		Consulting / Design	659 Auburn Ave NE #135, Atlanta, GA 30312		(404) 480-4499			1				NE Atlanta	https://static.wixstatic.com/media/edfd9b_f609b2dede134c8b927d46ff76e77f60~mv2.png/v1/crop/x_0,y_252,w_3000,h_804/fill/w_590,h_160,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ES_HighRes_Horizontal_Color_edited.png		1				https://www.ecoworks-studio.com/
9	Atlanta Mission: My Sister's House	Recovery & Redistribution										0							0				
10	Emory University - Oxford College	Public & Education Sector					801 Emory St, Oxford, GA 30054	University	(770) 784-8888			2				General Georgia	https://oxford.emory.edu/_includes/images/site-wide/oxford-college-logo-catalog.png		2				https://oxford.emory.edu/
