id,label,reason,address
2,Sabor Provisions,no address,
4,Golightly Street Community Garden,no address,
6,Kings Forest Combined Corporation Garden,no address,
7,Café Momentum,no address,
9,Atlanta Mission: My Sister's House,no address,
16,Greater Fellowship Outreach & Developme,no address,
17,Retaaza,no address,
19,ReFED,no address,
22,Marietta Square Farmers Market,no address,
27,Blooming With Possibilities Garden,no address,
29,EcoWomanist Institute Southeast,no address,
32,Sweet Selma Farm & Gardens,no address,
35,Kimball House,no address,
41,Metro Atlanta Urban Farm,no address,
45,The Black Church Food Security Network,no address,
57,Community Garden at J.M. Tull (Gwinnett Family YMCA),no address,
58,Georgia Mountains Farmers Network,no address,
61,Bocado,no address,
62,Faithful Fields Community Garden,no address,
65,Lilburn Community Garden,no address,
66,Fresh Market,no address,
70,Clayton County Public Schools,no address,
73,Decatur Housing Initiatives,no address,
77,Atlanta Public Schools,no address,
78,Middle Georgia's Growers Cooperative,no address,
79,Greenway Farms of Georgia,no address,
85,Black Too Earth,no address,
100,Cooper's Gourmet,no address,
101,Bonsai Mushrooms,no address,
107,Peachtree Park Community Garden,no address,
110,MycoLogic,no address,
114,Amazon Flex,no address,
116,R&N Rochell Farm,no address,
117,Carver Market,no address,
119,Union City Community Garden,no address,
123,Flat Shoals Park Community Garden,no address,
126,North Marietta Neighborhood Community Garden,no address,
136,Farmers Jam,no address,
138,Beloved Naturalist,no address,
141,Clarkston International Garden + Columbia Theological Seminary,no address,
142,YG Movement Urban Farm,no address,
143,Stop Think Chew,no address,
150,Bellwood Coffee,no address,
152,Margie's House,no address,
154,"Fleur + Forage, LLC",no address,
156,Dekalb County Cooperative Extension,no address,
159,City of Refuge,no address,
165,Diamond Hill Food Co-op,no address,
167,Bagel Rescue,no address,
169,100% Artisan Foods,no address,
172,Micro Munch,no address,
174,Firelight Coffee Roasters,no address,
175,Panther's Pantry,no address,
180,Georgia Peach Truck,no address,
181,St. Thomas Aquinas Giving Garden and Orchard,no address,
182,The Daily by Butcher & Bee,no address,
185,The Soy Shop,no address,
199,Northeast Georgia Locally Grown,no address,
200,Black too Earth,no address,
201,Georgia Tech Research Institute Agricultural Technology Research Program,no address,
202,Mayor's Office of Cultural Affairs,no address,
212,Good Food Purchasing Program,no address,
214,City of Atlanta Department of City Planning,no address,
216,GSU Community Garden,no address,
217,Farm Aid,no address,
219,GA FarmLink,no address,
220,The Garden Early Learning Academy,no address,
224,The BeeLieve Community Garden,no address,
228,Ray C. Anderson Foundation,no address,
229,Pasta Mami,no address,
238,Portrait Coffee,no address,
241,Piedmont BBQ Co.,no address,
249,Roots Bearing Fruits,no address,
256,Aglanta,no address,
266,Fresh Harvest,no address,
269,Schmidt Family Foundation,no address,
270,Woodland Wellness Farm Apothecary,no address,
271,Chef Asata Reid,no address,
273,Norcross Discovery Garden Park,no address,
276,Creation Care,no address,
277,Southwest Church Community Garden,no address,
278,Many Fold Foundation,no address,
284,The Kendeda Fund,no address,
286,Ignited Word,no address,
287,Georgia Health Policy Center,no address,
290,Dandelion Food and Goods,no address,
293,Little Tart Bakeshop,no address,
303,Uhuru Gardens,no address,
307,Jasmine Stewart Community Garden,no address,
313,Saint Rita's Cakes,no address,
315,Condor Chocolates,no address,
317,Wild East Acre,no address,
324,G.A. Towns Adamsville Garden,no address,
331,Jones Bridge Community Garden,no address,
332,Billie Eilish Changemakers Program,no address,
337,Taste of Atlanta,no address,
349,Mycelial Minds Mushrooms,no address,
354,Adair Park Community Garden,no address,
356,Greening Youth Foundation,no address,
357,Malachi's Storehouse,no address,
358,Snapfinger Farm,no address,
362,American Legion Post160 Gardens,no address,
365,Southern Sustainable Agriculture Research and Education (SARE),no address,
368,Bella Cucina,no address,
369,Medlock Park Community Garden,no address,
370,Mulberry Fields Community Garden Greene Space Inc.,no address,
375,Peepal People,no address,
376,Fleur and Forage Free Clinic,no address,
379,Turner Environmental Law Clinic at Emory University,no address,
383,Alpharetta Community Garden,no address,
388,Thistle & Sprig Tea Company,no address,
389,MARTA,no address,
391,Capitol View / Jesse Dill Community Garden,no address,
393,My Elderberry Fairy,no address,
396,Sweet Sol,no address,
397,Chattahoochee Queen,no address,
400,USDA Urban Agriculture and Innovative Production Program,no address,
401,Emory Cares,no address,
404,Vision 99 Beyond Walls Garden,no address,
405,Gwinnet Christian Terrace Community Garden,no address,
414,USDA Risk Management Agency,no address,
419,"Higher Calling Foundation, Inc.",no address,
420,King Shepherd Farm,no address,
425,Independent Grocers Alliance,no address,
432,"Eco-Paradigm, LLC",no address,
