county,facility_name,permit,address_full,city,state,notes
Fulton,Ben's Backyard,060-0303 PBR(CO),"936 White St, Atlanta, GA",Atlanta,GA,Class 2 compost operation
Fulton,CHaRM - Center for Hard to Recycle Materials,060-0280 PBR(CO),"1110 Hill St SE, Atlanta, GA",Atlanta,GA,Compost operation - may accept from the public
Fulton,CO-Collegetown Farm / Community Composting Lab,060-001 PBR(CO),"1040 Westview Dr, Atlanta, GA",Atlanta,GA,Class 2 compost operation
Fulton,CompostNow,060-0280 PBR(COL),"2366 Sylvan Rd, East Point, GA",East Point,GA,Compost collection - may accept from the public
Fulton,Georgia Institute of Technology Resource Recovery Yard,060-0307 PBR(CO),"793 Marietta St NW, Atlanta, GA",Atlanta,GA,Class 2 compost operation
Fulton,"Goodr, Inc.",060-0282 PBR(COL),"691 John Wesley Dobbs Ave NE Unit A, Atlanta, GA",Atlanta,GA,Compost collection - may accept from the public
Fulton,Old Rucker Farm,060-0302 PBR(CO),"900 Rucker Rd, Alpharetta, GA",Alpharetta,GA,Class 2 compost operation
Fulton,"Southern Green Industries, Inc.",060-0279 PBR(COL),"4565 Frederick Dr, Atlanta, GA",Atlanta,GA,Compost collection
Fulton,Truly Living Well Center for Natural Urban Agriculture,PBR-060-267COL,"324 Lawton St SW, Atlanta, GA",Atlanta,GA,Compost operation
Fulton,Urban Food Forest at Browns Mill,060-0276 PBR(CO),"2217 Browns Mill Rd SE, Atlanta, GA",Atlanta,GA,Class 2 compost operation
