Name ,Type,Ownership,Address,Revenue (2025),Expenses (2025),Presence in Georgia (Yes/#),Presence in Metro ATL (Yes/#),Labor,Supply Source ,Meals Rescued (yearly),Outreach,Corporate Donors,Recycling/Composting Practices,Equity/Access Initiatives
Atlanta Community Food Bank,food bank,501(c)(3) nonprofit,"3400 North Desert Drive,
Atlanta, GA 30344",$254 mil,$260 mil,1,1,"250 staff members, 2500 volunteers monthly",Donors,112 mil,700+ partners," The Arthur M. Blank Family Foundation, The Coca-Cola Foundation, Chick-fil-A Foundation, Delta Air Lines, Mercedes-Benz USA, The Home Depot",Food well Alliance Partnership,
Midtown Assistance Center,Food Pantry,501(c)(3) nonprofit,"613 Spring St NW, Atlanta, GA 30308",$1.24 mil,$1.48 mil,1,1,"7 employees, 250 volunteers monthly","Atl Community Food bank, businesses, vendors, etc.",,,,,
Salvation Army Red Shield,Meal Program,Religious Charity,"469 Marietta St NW, Atlanta, GA 30313",--,--,"Yes, a part of a larger chain ""Salvation Army""",4+,,"Atl Community Food bank, businesses, vendors, etc.",,,,,
"Antioch Urban Ministries, Inc.",Food Pantry,501(c)(3) nonprofit,"540 Cameron M Alexander Blvd NW, Atlanta, GA 30318",$1.02 mil,$1.12 mil,,,,,,,,,
St Luke's Episcopal Church - Crossroads,Meal Program,Church Based,"420 Courtland St NE, Atlanta, GA 30308",--,--,,,,,,,,,
First Presbyterian Church of Atlanta,Food Pantry / Meal Program,Church Based,"1328 Peachtree St NE, Atlanta, GA 30309",--,--,,,,,,,,,
"Foundation of Miracles, Inc.",Mobile / Food Pantry,501(c)(3) nonprofit,"315 Ralph McGill Blvd NE, Atlanta, GA 30312",,,,,,,,,,,
Hollis Innovation Academy,School Pantry,School Based,"225 Griffin St NW, Atlanta, GA 30314",,,,,,,,,,,
Center Helping Obesity in Children End Successfully,Food Pantry,501(c)(3) nonprofit,"125 Ellis St NE, Atlanta, GA 30303",,,,,,,,,,,
Urban Recipe Food Co-Ops,Food Co-Op,Member Participatory,"970 Jefferson St NW, Atlanta, GA 30318",,,,,,,,,,,
Central United Methodist Church,Food Pantry,Church Based,"501 Martin Luther King Jr Dr SW, Atlanta, GA 30314",--,--,,,,,,,,,
Magnolia / Big Bethel Pantry,Food Pantry,Church Based,"220 Auburn Ave NE, Atlanta, GA 30303",--,--,,,,,,,,,
Shrine of the Immaculate Conception,Food Pantry / Meal Program,Church Based,"48 Martin Luther King Jr Dr SW, Atlanta, GA 30303",--,--,,,,,,,,,
Ebenezer Baptist Church,Food Pantry,Church Based,"407 Auburn Ave NE, Atlanta, GA 30312",--,--,,,,,,,,,
Flipper Temple AME Church,Food Pantry,Church Based,"580 Atlanta Student Movement Blvd SW, Atlanta, GA 30314",--,--,,,,,,,,,
Our Lady of Lourdes,Meal Program,501(c)(3) nonprofit,"25 Boulevard NE, Atlanta, GA 30312",,,,,,,,,,,
ReNew Atlanta Corporation,Food Pantry,Corporation,"256 Memorial Dr SW, Atlanta, GA 30303",,,,,,,,,,,
Georgia Harm Reduction Coalition,Food Pantry / Meal Program,501(c)(3) nonprofit,"1233 Joseph E Boone Blvd NW, Atlanta, GA 30314",,,,,,,,,,,
Mt. Moriah Baptist Church,Food Pantry,Church Based,"200 Joseph E Lowery Blvd SW, Atlanta, GA 30314",--,--,,,,,,,,,
Atlanta Campus In-Person,Food Pantry,School Based,"75 Piedmont Ave. NE
Room 0035
Atlanta, GA 30303",,,,,,"Panther Pantry 
( GSU )",,,,,
Atlanta Campus Lockers,Food Pantry,School Based,"140 Decatur St. SE
Atlanta, GA 30303",,,,,,"Panther Pantry 
( GSU )",,,,,
Alpharetta Campus Lockers,Food Pantry,School Based,"3705 Brookside Pkwy.
Alpharetta, GA 30022",,,,,,"Panther Pantry 
( GSU )",,,,,
Clarkston Campus Lockers,Food Pantry,School Based,"555 North Indian Creek Dr.
Clarkston, GA 30021",,,,,,"Panther Pantry 
( GSU )",,,,,
Decatur Campus Lockers,Food Pantry,School Based,"3251 Panthersville Rd.
Decatur, GA 30034",,,,,,"Panther Pantry 
( GSU )",,,,,
Dunwoody Campus Lockers,Food Pantry,School Based,"2101 Womack Rd.
Dunwoody, GA 30338",,,,,,"Panther Pantry 
( GSU )",,,,,
Newton Campus Lockers,Food Pantry,School Based,"239 Cedar Ln.
Covington, GA 30014",,,,,,"Panther Pantry 
( GSU )",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"important links:
https://feedinggeorgia.org/our-food-banks/
https://www.acfb.org/stories-of-hunger/
https://www.acfb.org/get-help/food-map/
https://www.foodpantries.org/st/georgia
https://dca.georgia.gov/affordable-housing/homelessness-assistance/homeless-and-covid-19-resources/food-resources
",,,,,,,,,,,,,,
